Altair  , 68.47888869280256 , -31.83282934715593 , 60.6302661412276
Hamal  , 52.48696821228091 , -44.60841384533046 , -27.65811357125998
Capella  , 32.32767469946018 , -6.070583680161285 , -31.752583599705357
Arcturus  , 56.883915373898006 , 47.21249043278131 , 31.729490626219064
Sirius  , 107.56491293018841 , 21.045615282220282 , -105.48598281796397
Castor  , 44.44865055533464 , 17.82822132480306 , -40.71654529284241
Pollux  , 48.04541141662726 , 21.30464298450554 , -43.06360116729366
Regulus  , 64.81852629140752 , 57.27757324392231 , -30.34338402151289
Vega  , 38.33734333793236 , -6.152655841808232 , 37.840411206840365
Betelgeuse  , 70.2709777807112 , -1.4785615399461025 , -70.25542095831325
Ashwini  , 56.75317024305909 , -49.9283399200134 , -26.983016982339908
Bharani  , 48.34683661670588 , -36.56066967602656 , -31.634380722292065
Kruttika  , 51.839868518946005 , -28.82092201588453 , -43.08974845848966
Rohini  , 59.72917252440574 , -21.420995667692228 , -55.75585166648373
Mrugshirsha  , 67.73586620204998 , -7.42491566740455 , -67.3276926492654
Adra  , 70.27097778398841 , -1.4785614704522012 , -70.25542096305371
Punarvasu  , 44.44865056527923 , 17.828221375208635 , -40.71654528162785
Pushya  , 58.022518670965695 , 35.63924034618229 , -45.78708573898993
Ashlesha  , 72.40548526972702 , 45.9688555411864 , -55.94120679229394
Magha  , 64.81852630689633 , 57.277573276375705 , -30.34338399333904
PurvFalguna  , 55.472560538854985 , 54.3633108013369 , -11.037907929230899
UttarFalguna  , 61.861083003872565 , 61.790168351598446 , -2.9611966319602936
Hasta  , 124.91624393797564 , 124.83249305399531 , 4.573475428604641
Chitra  , 97.32352806681621 , 90.67998544693285 , 35.341326442515005
Swati  , 56.883915395878624 , 47.21249046495974 , 31.729490617744922
Vishakha  , 106.24233990528141 , 78.06116823548523 , 72.06863951997862
Anuradha  , 128.31048374806704 , 64.71877194140347 , 110.79287340826387
Jeshtha  , 127.01999137591105 , 53.09033192854643 , 115.39278515077656
Mula  , 151.4027008178427 , 45.44395487227441 , 144.42169082414136
Purvashadha  , 138.08767832989622 , -12.630414064315573 , 137.50883443293682
Uttarashadha  , 128.7693352818261 , -30.75206214517186 , 125.04340199603828
Shravan  , 71.52030192008526 , -34.488061797991946 , 62.65562369139772
Dhanishtha  , 60.377028617141534 , -38.73897659481753 , 46.31066051160691
Shatataraka  , 81.95801052645277 , -74.53043754293094 , 34.09295189791304
PurvBhadrapada  , 47.986369167442746 , -46.550862215503074 , 11.649414271427917
UttarBhadrapada  , 47.037395737964154 , -47.00568979792707 , -1.7267670459281361
Revati  , 70.06308322015946 , -66.4660762081037 , -22.160693667246534
